Fake ID,Year,City,Month,Day,Time,Week,Type Of Accident,Reasons,Street,Place,Area,Location,Lighting,Road Condition,Weather Condition,Road surface,Lay injured,Injured seat,Degree of injury,Age of the injured,The person's gender,Speed of the road,Number of tracks,Pedestrian behavior,Intersection,Total
896535,2021,Sharjah,August,Wednesday,Evening,the third week,Be shocked,Sudden deviation,Hamriyah,Commercial area,Hamriyah,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,45,Male,40,1,There is no,Not on or by (20) meters of a,1
896537,2021,Sharjah,September,Friday,Before noon,The first week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,The general public street,External road,Buda’i,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,28,Male,120,2,There is no,Not on or by (20) meters of a,1
896546,2021,Abu Dhabi,October,Saturday,Before noon,The first week,Deterioration,Preoccupation with the road while driving the vehicle in any way,The shampoo,Tunnel / Bridge,There is no definition of regions,Individual,day,Wicked (Bad),fog,Temple,passenger,Rapid in the back seat,Simple,17,Male,80,1,There is no,Not on or by (20) meters of a,1
896560,2021,Ras Al Khaimah,February,Tuesday,Before noon,The first week,A fixed body shocked the road,Sudden deviation,Sheikh Mohammed bin Zayed Street,Others,The Red Island,public road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,23,Male,60,3,There is no,Not at intersection,1
896563,2021,Ras Al Khaimah,January,Friday,Evening,The first week,A fixed body shocked the road,Sudden deviation,Kadra area,Mountainous area,Disgust,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,15,Male,120,2,There is no,Not on or by (20) meters of a,1
896571,2021,Abu Dhabi,November,Tuesday,In the afternoon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,International airport roads,Tunnel / Bridge,Khalifa City (B),Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,54,Male,120,3,There is no,Not on or by (20) meters of a,1
896572,2021,Abu Dhabi,April,Tuesday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Khalifa Bin Zayed Street I,School,Pre -Islamic,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,39,Male,80,3,There is no,Not at intersection,1
896575,2021,Abu Dhabi,April,Thursday,Evening,fourth week,Run,Preoccupation with the road while driving the vehicle in any way,There is no definition,Commercial area,Industrial Archbishop,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,26,Male,60,2,He crosses not on transit lines,Not on or by (20) meters of a,1
896580,2021,Ras Al Khaimah,June,Wednesday,Evening,the third week,Run,Preoccupation with the road while driving the vehicle in any way,Passports intersection,Governmental,Globe,public road,day,Wicked (Bad),No Clouds,Temple,driver,Bike,Medium,27,Male,60,2,There is no,A meeting of half -vertical roads,1
896581,2021,Abu Dhabi,June,Saturday,At noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Rashid Al Maktoum Street,External road,Gentott,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,59,Male,140,4,There is no,Not on or by (20) meters of a,1
896582,2021,Ras Al Khaimah,January,Friday,Evening,The fifth week,Cross -100,Preoccupation with the road while driving the vehicle in any way,Jabal Jais Street,Mountainous area,Whisper,Double road,Night - without lighting,curve,No Clouds,dry,driver,Bike,Medium,29,Male,60,3,There is no,Not on or by (20) meters of a,1
896583,2021,Abu Dhabi,May,Tuesday,Before noon,the third week,Shock,Sudden deviation,El-Shikh Zayed street,Residential area,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,68,Male,80,3,There is no,Not at intersection,1
896588,2021,Ras Al Khaimah,January,Wednesday,In the afternoon,the third week,Run,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Saqr Street,Commercial area,Al -Zahra,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,pedestrian,There is no passenger,Medium,20,Male,80,3,There is no,Not at intersection,1
896589,2021,Ras Al Khaimah,April,Thursday,At noon,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Mohammed bin Salem Street,Residential area,Northern,public road,day,Wicked (Bad),No Clouds,Temple,driver,Bike,Medium,24,Male,80,2,There is no,Not on or by (20) meters of a,1
896591,2021,Ras Al Khaimah,May,Wednesday,At noon,fourth week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Khuzam Street,Residential area,Lap,public road,day,Wicked (Bad),No Clouds,Temple,passenger,Rapid in the back seat,Medium,32,Female,80,2,There is no,Hole,1
896592,2021,Abu Dhabi,November,Monday,Before noon,The first week,Shock,Preoccupation with the road while driving the vehicle in any way,Tarif road,Sandy area,intimate,Double road,Night - without lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,26,Male,120,2,There is no,Not at intersection,1
896595,2021,Ras Al Khaimah,May,Wednesday,At noon,fourth week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Khuzam Street,Residential area,Lap,public road,day,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Medium,31,Female,80,2,There is no,Hole,1
896597,2021,Abu Dhabi,August,Thursday,At noon,second week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Tarif road,External road,intimate,Dhuatatin Road,day,Wicked (Bad),dusty,Temple,passenger,A passenger in the front seat,Medium,43,Male,100,2,There is no,Not on or by (20) meters of a,1
896601,2021,Abu Dhabi,May,Wednesday,Before noon,the third week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Al -Mafraq Al -Shawamik Street,Petrol station,There is no definition of regions,Double road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,40,Male,140,4,There is no,Not on or by (20) meters of a,1
896625,2021,Abu Dhabi,November,Friday,Evening,fourth week,Cross -100,Sudden deviation,Abu Dhabi Road - Al Ain,Others,Al Wathba (East + West),Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,38,Male,80,1,There is no,Not on or by (20) meters of a,1
896629,2021,Abu Dhabi,November,Monday,In the afternoon,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,Coastal area,Phantom,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,26,Male,80,2,There is no,Not on or by (20) meters of a,1
896630,2021,Sharjah,January,Friday,At noon,second week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Al -Orouba Street,Residential area,Umm Al -Tarafa,Double road,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,29,Male,60,2,There is no,Not on or by (20) meters of a,1
896640,2021,Abu Dhabi,April,Friday,Evening,second week,A fixed body shocked the road,Sudden deviation,Sultan bin Zayed Street I,Residential area,Pre -Islamic,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,50,Female,80,3,There is no,Multi -legs intersection,1
896641,2021,Sharjah,September,Saturday,Before noon,the third week,Run,Preoccupation with the road while driving the vehicle in any way,corneche Street,Commercial area,Jubail,Double road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,43,Female,60,2,He crosses pedestrian crossing lines,Hole,1
896643,2021,Sharjah,February,Monday,Evening,The first week,Run,Preoccupation with the road while driving the vehicle in any way,Maliha Street,Residential area,Fold,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Bike,Medium,11,Male,30,2,He crosses not on transit lines,Vertical cross intersection,1
896645,2021,Sharjah,November,Tuesday,In the afternoon,second week,Run,Preoccupation with the road while driving the vehicle in any way,King Abdulaziz Street,Mosque,Station,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,64,Female,40,3,He crosses pedestrian crossing lines,Not on or by (20) meters of a,1
896648,2021,Abu Dhabi,June,Thursday,At noon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Khalifa Port Road (Kizad),Seaport,Long,Individual,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,30,Male,100,4,There is no,Not on or by (20) meters of a,1
896650,2021,Sharjah,May,Thursday,At noon,The first week,Be shocked,Sudden deviation,Hamriyah,Residential area,Hamriyah,Individual,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,37,Male,100,2,There is no,Not at intersection,1
896653,2021,Abu Dhabi,February,Wednesday,At noon,The first week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,External road,Abu Samra,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,63,Male,160,3,There is no,Not at intersection,1
896655,2021,Sharjah,October,Tuesday,In the afternoon,The first week,Run,Preoccupation with the road while driving the vehicle in any way,Al -Zahra Street,Commercial area,Chapel,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,50,Male,60,2,Familiar,Not on or by (20) meters of a,1
896656,2021,Abu Dhabi,July,Sunday,Evening,the third week,Be shocked,Sudden deviation,Al -Mafraq Al -Shawamik Street,Tunnel / Bridge,The shampoo,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,34,Male,80,2,There is no,Not on or by (20) meters of a,1
896657,2021,Abu Dhabi,January,Thursday,In the afternoon,second week,Run,Preoccupation with the road while driving the vehicle in any way,Yas Street Two,Tunnel / Bridge,Yass Island,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,28,Male,140,5,Familiar,Not on or by (20) meters of a,1
896659,2021,Abu Dhabi,February,Saturday,Before noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,External road,There is no definition of regions,Double road,day,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Medium,31,Male,160,3,There is no,Not on or by (20) meters of a,1
896660,2021,Abu Dhabi,November,Thursday,Evening,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Rashid between Sayed Al Maktoum - Muhammad Ben Khalifa Intecket,Commercial area,dignity,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,29,Male,80,4,There is no,Vertical cross intersection,1
896661,2021,Ras Al Khaimah,August,Friday,Evening,The first week,A fixed body shocked the road,Sudden deviation,Ceramic Street from Ceramic Circle to Exit One hundred and nineteen,Others,The Red Island,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,passenger,Rapid in the back seat,Medium,19,Male,80,2,There is no,Not at intersection,1
896663,2021,Abu Dhabi,October,Sunday,Before noon,The first week,A fixed body shocked the road,Sudden deviation,Toward,Residential area,Tall,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,43,Female,60,2,There is no,Not on or by (20) meters of a,1
896665,2021,Sharjah,November,Friday,In the afternoon,the third week,Be shocked,Sudden deviation,Sheikh Khalid bin Khalid Al Qasimi Street,Residential area,Ramtha,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,43,Female,60,3,There is no,Not on or by (20) meters of a,1
896666,2021,Abu Dhabi,July,Wednesday,Before noon,The first week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Khalifa Port Road (Kizad),Seaport,Long,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,24,Male,140,4,There is no,Not on or by (20) meters of a,1
896667,2021,Abu Dhabi,July,Saturday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Tarif road,External road,Arian,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,6,Female,140,3,There is no,Not on or by (20) meters of a,1
896668,2021,Abu Dhabi,June,Friday,Evening,second week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,External road,Mohammed bin Zayed City,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,29,Male,80,3,There is no,Not on or by (20) meters of a,1
896671,2021,Abu Dhabi,January,Tuesday,Before noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Tarif road,External road,Al Dhafra Air Force Base,public road,day,Wicked (Bad),No Clouds,Foundation,passenger,Rapid in the back seat,Medium,30,Male,80,5,There is no,Not on or by (20) meters of a,1
896672,2021,Sharjah,June,Sunday,At noon,fourth week,Shock,Sudden deviation,industrial area,External road,Industrial Zone,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,25,Male,60,1,There is no,Not on or by (20) meters of a,1
896676,2021,Abu Dhabi,November,Monday,Before noon,second week,Be shocked,Sudden deviation,Abu Dhabi Road - Al Ain,Residential area,Mohammed bin Zayed City,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,48,Male,60,2,There is no,Not on or by (20) meters of a,1
896677,2021,Abu Dhabi,Dec,Thursday,Evening,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Sweihan Road,External road,Sweihan,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,32,Male,120,2,There is no,Not on or by (20) meters of a,1
896678,2021,Umm Al Quwain,October,Thursday,Before noon,The first week,Deterioration,Sudden deviation,Sheikh Mohammed bin Zayed Street (Umm Al Qain - Ras Al Khaimah),Tunnel / Bridge,Navel,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,31,Male,140,3,There is no,Not on or by (20) meters of a,1
896682,2021,Abu Dhabi,May,Thursday,Evening,The first week,Be shocked,Sudden deviation,Eastern Street (Al Traffic) (Four),School,Humper saffron,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,25,Male,80,4,There is no,Not on or by (20) meters of a,1
896685,2021,Abu Dhabi,July,Friday,Before noon,The fifth week,Shock,Preoccupation with the road while driving the vehicle in any way,There is no definition,Residential area,Sa'adiat Island,Individual,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,65,Male,40,2,There is no,Not on or by (20) meters of a,1
896689,2021,Abu Dhabi,January,Tuesday,Before noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Tarif road,External road,Al Dhafra Air Force Base,public road,day,Wicked (Bad),No Clouds,Foundation,passenger,Rapid in the back seat,Medium,61,Male,80,5,There is no,Not on or by (20) meters of a,1
896697,2021,Ras Al Khaimah,October,Saturday,Evening,the third week,Deterioration,Sudden deviation,Sheikh Mohammed bin Saqr Street,Governmental,Sih Al Hudaybah,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,23,Male,60,2,There is no,Not on or by (20) meters of a,1
896701,2021,Abu Dhabi,September,Sunday,In the afternoon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,International airport roads,Residential area,Khalifa City (a),Intersection,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,28,Male,60,2,There is no,Not on or by (20) meters of a,1
896705,2021,Abu Dhabi,June,Wednesday,Evening,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Armored road,Tunnel / Bridge,Industrial armored bridge,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,52,Male,100,3,There is no,Not on or by (20) meters of a,1
896706,2021,Sharjah,November,Friday,Before noon,second week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Al -Maliha Street / Kalba towards Kalba,External road,Al -Maliha Street / Kalba,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,8,Male,120,3,There is no,Not at intersection,1
896711,2021,Abu Dhabi,May,Tuesday,At noon,The first week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Rashid Al Maktoum Street,Petrol station,There is no definition of regions,Double road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,25,Male,140,4,There is no,Not on or by (20) meters of a,1
896713,2021,Abu Dhabi,September,Wednesday,At noon,fourth week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Tarif road,External road,Al Dhafra Air Force Base,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,24,Male,160,4,There is no,Not on or by (20) meters of a,1
896717,2021,Ras Al Khaimah,Dec,Friday,Before noon,second week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Mohammed bin Salem Street,Residential area,Southern,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,21,Male,80,2,There is no,Hole,1
896723,2021,Abu Dhabi,January,Tuesday,At noon,second week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,External road,There is no definition of regions,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,45,Female,140,4,There is no,Not on or by (20) meters of a,1
896724,2021,Abu Dhabi,Dec,Friday,In the afternoon,The first week,Cross -100,Sudden deviation,Armored road,Residential area,Mohammed bin Zayed City,Double road,Night - Enough lighting,narrow road,No Clouds,dry,driver,Bike,Medium,28,Male,80,1,There is no,Not on or by (20) meters of a,1
896726,2021,Abu Dhabi,November,Wednesday,Evening,the third week,Be shocked,Preoccupation with the road while driving the vehicle in any way,There is no definition,Industrial area,Industrial Archbishop,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,23,Male,60,1,There is no,Not on or by (20) meters of a,1
896731,2021,Abu Dhabi,May,Wednesday,Evening,fourth week,Deterioration,Sudden deviation,Khalifa City Bridge,Residential area,The city of Shakhbout,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,28,Male,60,3,There is no,Not on or by (20) meters of a,1
896732,2021,Abu Dhabi,October,Monday,Evening,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Al -Ruwais Street - Goods,External road,General Street (Abu Dhabi - Commodities),Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,35,Male,160,3,There is no,Not at intersection,1
896735,2021,Umm Al Quwain,September,Thursday,Before noon,second week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Emirates Street,Tunnel / Bridge,Polite area,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,29,Male,140,3,There is no,Not on or by (20) meters of a,1
896737,2021,Abu Dhabi,January,Thursday,At noon,second week,Deterioration,Sudden deviation,An internal street,Residential area,Abu Kira,Dhuatatin Road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,18,Male,100,2,There is no,Not at intersection,1
896738,2021,Abu Dhabi,February,Monday,In the afternoon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,Residential area,Al -Ajaban,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,20,Male,60,2,There is no,A meeting of half -vertical roads,1
896739,2021,Abu Dhabi,August,Sunday,Evening,The fifth week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Khalifa Bin Zayed Street I,Industrial area,There is no definition of regions,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,27,Male,100,3,There is no,Not at intersection,1
896741,2021,Ras Al Khaimah,May,Sunday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Al Montaser Street,Commercial area,Palm,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,13,Male,60,2,There is no,Vertical cross intersection,1
896742,2021,Abu Dhabi,February,Wednesday,At noon,The first week,Be shocked,Preoccupation with the road while driving the vehicle in any way,General Street (Abu Dhabi - Commodities),Residential area,Port,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,41,Male,160,4,There is no,Not at intersection,1
896746,2021,Abu Dhabi,Dec,Wednesday,At noon,the third week,Be shocked,Sudden deviation,International airport roads,Residential area,Khalifa City (a),Double road,day,Wicked (Bad),No Clouds,Temple,driver,Bike,Medium,31,Male,60,2,There is no,A meeting of half -vertical roads,1
896748,2021,Ras Al Khaimah,March,Thursday,Before noon,the third week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Al -Falaiya Street,Commercial area,Atmosphere,Double road,day,Wicked (Bad),No Clouds,Temple,driver,Bike,Medium,34,Male,100,2,There is no,Not on or by (20) meters of a,1
896750,2021,Abu Dhabi,July,Thursday,At noon,the third week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,External road,Sih Al -Shuaib,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,48,Male,100,2,There is no,Not on or by (20) meters of a,1
896758,2021,Abu Dhabi,November,Wednesday,Before noon,fourth week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,Residential area,The Military Renaissance City,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,19,Male,60,2,There is no,A meeting of half -vertical roads,1
896761,2021,Ras Al Khaimah,January,Saturday,Evening,The first week,Cross -100,Preoccupation with the road while driving the vehicle in any way,Sheikh Abdullah bin Mohammed Al Qasimi Street,Residential area,Sahih poems,Individual,Night - without lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,24,Male,40,1,There is no,Not on or by (20) meters of a,1
896764,2021,Abu Dhabi,January,Friday,In the afternoon,the third week,Run,Preoccupation with the road while driving the vehicle in any way,Armored road,Residential area,Khalifa popular bridge,Other (select),Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,11,Female,60,2,He crosses not on transit lines,Not on or by (20) meters of a,1
896766,2021,Abu Dhabi,Dec,Thursday,Evening,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Khalifa Bin Zayed Street,Residential area,Maqam,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,63,Male,120,3,There is no,Not at intersection,1
896768,2021,Abu Dhabi,November,Wednesday,Evening,second week,Run,Preoccupation with the road while driving the vehicle in any way,Armored road,Commercial area,Industrial armored bridge,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,Foundation,pedestrian,There is no passenger,Medium,34,Male,40,1,Familiar,Not on or by (20) meters of a,1
