,Unnamed: 0.1,Unnamed: 0,Fake ID,Year,City,Month,Day,Time,Week,Type Of Accident,Reasons,Street,Place,Area,Location,Lighting,Road Condition,Weather Condition,Road surface,Lay injured,Injured seat,Degree of injury,Age of the injured,The person's gender,Speed of the road,Number of tracks,Pedestrian behavior,Intersection,Total
16,16,16,896488,2021,Ajman,October,Friday,In the afternoon,The fifth week,Run,Negligence and lack of attention,Musfoot Street,Commercial area,garden,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,30,Female,30,0,There is no,A meeting of half -vertical roads,1
17,17,17,896489,2021,Abu Dhabi,August,Friday,Before noon,the third week,A fixed body shocked the road,Driving the vehicle under the influence of alcohol,International airport roads,Residential area,Khalifa City (a),Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,50,Female,80,3,There is no,Vertical cross intersection,1
18,18,18,896490,2021,Sharjah,February,Wednesday,At noon,fourth week,Be shocked,Preoccupation with the road while driving the vehicle in any way,corneche Street,garden,the East,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,24,Male,60,2,There is no,Not on or by (20) meters of a,1
19,19,19,896491,2021,Abu Dhabi,Dec,Monday,Evening,fourth week,Shock,Negligence and lack of attention,Arabian Gulf Street(Thirty),Others,There is no definition of regions,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,29,Male,80,3,There is no,Not on or by (20) meters of a,1
20,20,20,896492,2021,Sharjah,August,Sunday,At noon,the third week,Non -moving,Sudden deviation,University City Street,Petrol station,Shahba,Other (select),day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,41,Female,40,0,There is no,Not on or by (20) meters of a,1
21,21,21,896493,2021,Abu Dhabi,Dec,Sunday,At noon,fourth week,Shock,Overcoming the red light signal - the arrow signal,Sultan Bin Zayed the First Street (Thirty Two),Intersection,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,33,Male,80,4,There is no,Vertical cross intersection,1
22,22,22,896494,2021,Sharjah,November,Friday,Before noon,second week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Al -Maliha Street / Kalba towards Kalba,External road,Al -Maliha Street / Kalba,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,10,Male,120,3,There is no,Not at intersection,1
23,23,23,896495,2021,Abu Dhabi,July,Saturday,Evening,fourth week,Run,Preoccupation with the road while driving the vehicle in any way,There is no definition,Commercial area,Industrial Archbishop,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,30,Male,40,1,It crosses the crossing lines,Others,1
24,24,24,896496,2021,Abu Dhabi,January,Thursday,In the afternoon,The first week,Be shocked,Overcoming the red light signal,Shakhboot Bin Sultan Street,Petrol station,Merkhania,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,38,Male,100,4,There is no,Multi -legs intersection,1
25,25,25,896497,2021,Umm Al Quwain,January,Sunday,Before noon,The fifth week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Zayed Street (Umm Al Qain - Ras Al Khaimah),Industrial area,Navel,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,40,Male,120,3,There is no,Not on or by (20) meters of a,1
26,26,26,896498,2021,Sharjah,January,Thursday,Before noon,The first week,Be shocked,Enter a major road without making sure that it is free,Sheikh Khalid bin Khalid Al Qasimi Street,Governmental,Ramtha,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Bike,Simple,21,Male,60,2,There is no,Vertical cross intersection,1
27,27,27,896499,2021,Sharjah,July,Friday,At noon,The fifth week,Be shocked,Overing from the right or ingredon is cautious,Kuwait Street,Residential area,Nasiriyah,Double road,day,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,22,Male,60,2,There is no,Not on or by (20) meters of a,1
28,28,28,896500,2021,Abu Dhabi,April,Friday,At noon,second week,Be shocked,Overcoming the red light signal,Zayed First Street,garden,Basra,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,32,Female,80,3,There is no,Multi -legs intersection,1
29,29,29,896501,2021,Abu Dhabi,May,Thursday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Al -Mafraq Al -Shawamik Street,Tunnel / Bridge,There is no definition of regions,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,21,Male,140,6,There is no,Not on or by (20) meters of a,1
30,30,30,896502,2021,Abu Dhabi,September,Friday,Evening,The first week,A fixed body shocked the road,Not adhering to the mandatory itinerary,Intersection of Hamdan Bin Mohammed - Al Salam,Commercial area,Central,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,54,Female,80,3,Familiar,Vertical cross intersection,1
31,31,31,896503,2021,Abu Dhabi,October,Sunday,Evening,the third week,Shock,Overcoming the red light signal - the arrow signal,East Intersection (Traffic) - Twenty First fifth Street,Commercial area,Humper saffron,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,36,Female,80,3,There is no,Vertical cross intersection,1
32,32,32,896504,2021,Abu Dhabi,Dec,Tuesday,Before noon,second week,Shock,Not leaving enough distance,El-Shikh Zayed street,Residential area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,48,Male,100,3,There is no,Not at intersection,1
33,33,33,896505,2021,Abu Dhabi,Dec,Saturday,At noon,The first week,Shock,Negligence and lack of attention,Peace Junction - Qasr Al Bahr,Governmental,Palace,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,27,Male,80,4,There is no,Not on or by (20) meters of a,1
34,34,34,896506,2021,Sharjah,June,Friday,Evening,the third week,Run,Not to give priority to the infantry crossing,El-Shikh Zayed street,Residential area,Stupidity,Other (select),Night - weak lighting,Wicked (Bad),No Clouds,Sand,pedestrian,There is no passenger,Simple,20,Male,30,1,There is no,Others,1
35,35,35,896507,2021,Umm Al Quwain,January,Wednesday,At noon,second week,Be shocked,Enter a major road without making sure that it is free,Market Street,Residential area,Old country area,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,27,Male,20,1,There is no,Vertical cross intersection,1
36,36,36,896508,2021,Abu Dhabi,June,Saturday,Evening,the third week,Consecutive,Negligence and lack of attention,Sheikh Zayed Street - Sheikh Zayed Tunnel,Commercial area,El-Shikh Zayed street,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,32,Female,80,4,There is no,Not on or by (20) meters of a,1
37,37,37,896509,2021,Umm Al Quwain,January,Wednesday,At noon,second week,Be shocked,Enter a major road without making sure that it is free,Market Street,Residential area,Old country area,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,29,Male,20,1,There is no,Vertical cross intersection,1
38,38,38,896510,2021,Abu Dhabi,Dec,Friday,Evening,second week,Shock,Overcoming the red light signal - the arrow signal,Sheikh Maktoum Bin Rashid Street,Tunnel / Bridge,Phantom,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,39,Female,60,2,There is no,Multi -legs intersection,1
39,39,39,896511,2021,Abu Dhabi,October,Friday,At noon,the third week,Cross -100,Overcoming the red light signal,Institute's roundabout,Mosque,Objectionable,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,42,Male,80,3,There is no,A meeting of half -vertical roads,1
40,40,40,896512,2021,Ras Al Khaimah,November,Sunday,Before noon,second week,Shock,Not leaving enough distance,Mohammed bin Salem Street from the roundabout of Mohammed bin Zaid to Dolphin,Others,The Red Island,public road,day,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Simple,15,Male,100,2,There is no,Not at intersection,1
41,41,41,896513,2021,Ras Al Khaimah,May,Saturday,Before noon,The fifth week,Shock,Enter a major road without making sure that it is free,Al -Munai’i Street,School,Al -Munai’i,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,11,Female,100,2,There is no,Others,1
42,42,42,896514,2021,Abu Dhabi,June,Monday,Evening,fourth week,Run,Preoccupation with the road while driving the vehicle in any way,Armored road,Residential area,Mohammed bin Zayed City,Individual,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,49,Female,60,3,He crosses pedestrian crossing lines,Not on or by (20) meters of a,1
43,43,43,896515,2021,Abu Dhabi,November,Friday,At noon,second week,Shock,Overcoming the red light signal - the arrow signal,Rashid between Sayed Al Maktoum Street (Tah),Residential area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,7,Male,100,4,There is no,Vertical cross intersection,1
44,44,44,896516,2021,Abu Dhabi,October,Tuesday,At noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Rashid Al Maktoum Street,External road,-,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,22,Male,140,4,There is no,Not on or by (20) meters of a,1
45,45,45,896517,2021,Sharjah,March,Friday,Before noon,the third week,Be shocked,Overing from the right or ingredon is cautious,corneche Street,garden,the East,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,36,Male,60,2,There is no,Not on or by (20) meters of a,1
46,46,46,896518,2021,Abu Dhabi,Dec,Friday,Evening,The fifth week,Be shocked,Not to make the road / not to give the brigades,Rashid between Sayed Al Maktoum Street (Tah),Commercial area,Supervisor,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,50,Female,80,3,There is no,Not at intersection,1
47,47,47,896519,2021,Abu Dhabi,May,Monday,At noon,second week,Be shocked,Fatigue and drowsiness,Abu Dhabi Road - Al Ain,External road,Al Wathba (East + West),Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,30,Male,120,3,There is no,Not on or by (20) meters of a,1
48,48,48,896520,2021,Fujairah,November,Saturday,Evening,the third week,Be shocked,Sudden deviation,Crescent city,Commercial area,Sakmkm area,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,16,Male,40,1,There is no,Vertical cross intersection,1
49,49,49,896521,2021,Abu Dhabi,November,Saturday,Evening,The first week,Consecutive,Not leaving enough distance,Peace Street (Eight),Residential area,Sheikh Zayed Bridge,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,27,Male,80,3,There is no,Not at intersection,1
50,50,50,896522,2021,Ras Al Khaimah,January,Wednesday,Before noon,fourth week,Be shocked,Negligence and lack of attention,Dqaladah Street,Governmental,Stagnation,public road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,25,Male,80,2,There is no,Hole,1
51,51,51,896523,2021,Ras Al Khaimah,October,Thursday,In the afternoon,second week,Deterioration,Sudden deviation,Al -Ittihad Street from Al -Sarramic Roundabout to Morgan Borders,Others,The Red Island,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,16,Male,120,2,There is no,Not at intersection,1
52,52,52,896524,2021,Umm Al Quwain,January,Sunday,Before noon,fourth week,Deterioration,Preoccupation with the road while driving the vehicle in any way,International Federation Street,Commercial area,The Rafeh area,public road,Night - without lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,52,Male,40,2,There is no,vertigo,1
53,53,53,896525,2021,Abu Dhabi,November,Thursday,In the afternoon,second week,Shock,Not leaving enough distance,Delma intersection - Street Thirty Two,Residential area,Ventricle,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,35,Male,80,4,There is no,Not at intersection,1
54,54,54,896526,2021,Abu Dhabi,Dec,Wednesday,Evening,The first week,Shock,Overcoming the red light signal - the arrow signal,Eastern Street (Al Traffic) (Four),Commercial area,Al Dhafra (Abu Dhabi),Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,19,Female,80,4,There is no,Vertical cross intersection,1
55,55,55,896527,2021,Sharjah,January,Tuesday,Evening,The first week,Consecutive,Overing from the right or ingredon is cautious,Sheikh Mohammed bin Zayed Street,Others,Rivalry,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,12,Female,120,5,There is no,Not at intersection,1
56,56,56,896528,2021,Ras Al Khaimah,March,Sunday,In the afternoon,the third week,Deterioration,Sudden deviation,Emirates Street Transit Street,Sandy area,Stagnation,public road,day,Barrier,dusty,Other (select),passenger,A passenger in the front seat,Simple,23,Male,120,3,There is no,Not at intersection,1
57,57,57,896529,2021,Abu Dhabi,August,Saturday,Evening,the third week,A fixed body was shocked outside the road,Driving the vehicle under the influence of alcohol,Khalifa City Bridge,Residential area,The city of Shakhbout,Double road,Night - Enough lighting,curve,No Clouds,dry,driver,Driver,Simple,34,Male,80,2,There is no,Not at intersection,1
58,58,58,896530,2021,Abu Dhabi,June,Sunday,Before noon,second week,Shock,Sudden deviation,Peace Street (Eight),Commercial area,Palace,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,18,Male,100,5,There is no,Multi -legs intersection,1
59,59,59,896531,2021,Sharjah,January,Tuesday,Evening,The first week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Sheikh Khalid bin Mohammed Al Qasimi Street,Mosque,Sheikh Khaled Road,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,25,Male,80,3,There is no,Not on or by (20) meters of a,1
60,60,60,896532,2021,Abu Dhabi,Dec,Wednesday,Evening,second week,Deterioration,Driving without a driver's license at all,An internal street,Commercial area,More,Individual,Night - without lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,20,Male,40,2,There is no,Not at intersection,1
61,61,61,896533,2021,Abu Dhabi,January,Tuesday,Before noon,the third week,Shock,Overcoming the red light signal,Rashid between Sayed Al Maktoum Street (Tah),Commercial area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,24,Male,80,4,There is no,Vertical cross intersection,1
62,62,62,896534,2021,Abu Dhabi,January,Friday,At noon,The first week,Cross -100,Overcoming the red light signal,Sultan Bin Zayed the First Street (Thirty Two),Commercial area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,24,Male,100,3,There is no,Vertical cross intersection,1
63,63,63,896535,2021,Sharjah,August,Wednesday,Evening,the third week,Be shocked,Sudden deviation,Hamriyah,Commercial area,Hamriyah,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,45,Male,40,1,There is no,Not on or by (20) meters of a,1
64,64,64,896536,2021,Ras Al Khaimah,October,Friday,Evening,The fifth week,A fixed body shocked the road,Driving under the influence of intoxicant or anesthetic,Ceramic Street from Ceramic Circle to Exit One hundred and nineteen,External road,The Red Island,vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,24,Male,100,2,There is no,vertigo,1
65,65,65,896537,2021,Sharjah,September,Friday,Before noon,The first week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,The general public street,External road,Buda’i,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,28,Male,120,2,There is no,Not on or by (20) meters of a,1
66,66,66,896538,2021,Abu Dhabi,October,Saturday,Before noon,the third week,Deterioration,Not adhering to the mandatory itinerary,Reem Island,Residential area,Reem Island,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,37,Male,60,3,There is no,A meeting of half -vertical roads,1
67,67,67,896539,2021,Sharjah,January,Friday,In the afternoon,fourth week,Be shocked,Negligence and lack of attention,Sheikh Mohammed bin Zayed Street,Sandy area,Hamriyah,Intersection,day,Wicked (Bad),No Clouds,Sand,driver,Driver,Simple,10,Male,10,1,There is no,Not on or by (20) meters of a,1
68,68,68,896540,2021,Abu Dhabi,November,Saturday,At noon,The first week,Deterioration,Enter a major road without making sure that it is free,Zayed the First Street(Seven),hospital,Central,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,39,Female,80,3,There is no,Not at intersection,1
69,69,69,896541,2021,Ras Al Khaimah,March,Sunday,At noon,the third week,Be shocked,Enter a major road without making sure that it is free,Al -Munai’i Street,External road,Al -Munai’i,Out of the way,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,1,Male,120,2,There is no,Hole,1
70,70,70,896542,2021,Abu Dhabi,January,Friday,Evening,The first week,Be shocked,Driving the vehicle under the influence of alcohol,Delma Street(Thirteen),Commercial area,There is no definition of regions,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,30,Male,60,3,There is no,Not on or by (20) meters of a,1
71,71,71,896543,2021,Ajman,November,Saturday,At noon,fourth week,Run,Negligence and lack of attention,unknown,Commercial area,Naimia,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,27,Male,60,0,There is no,Not on or by (20) meters of a,1
72,72,72,896544,2021,Abu Dhabi,July,Saturday,Evening,second week,Be shocked,Not to make the road / not to give the brigades,Abu Dhabi Road - Al Ain,Residential area,Mohammed bin Zayed City,vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,30,Male,60,3,There is no,Not on or by (20) meters of a,1
73,73,73,896545,2021,Sharjah,January,Friday,At noon,The first week,A fixed body shocked the road,Enter a major road without making sure that it is free,Al -Wahda Street,Mosque,University neighborhood,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,36,Female,40,2,There is no,Not on or by (20) meters of a,1
74,74,74,896546,2021,Abu Dhabi,October,Saturday,Before noon,The first week,Deterioration,Preoccupation with the road while driving the vehicle in any way,The shampoo,Tunnel / Bridge,There is no definition of regions,Individual,day,Wicked (Bad),fog,Temple,passenger,Rapid in the back seat,Simple,17,Male,80,1,There is no,Not on or by (20) meters of a,1
75,75,75,896547,2021,Abu Dhabi,September,Sunday,Evening,the third week,Shock,Overcoming the red light signal,corneche Street,Commercial area,The port,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,25,Male,60,4,There is no,Vertical cross intersection,1
76,76,76,896548,2021,Abu Dhabi,August,Saturday,In the afternoon,The first week,Be shocked,Not adhering to the mandatory itinerary,Rashid between Sayed Al Maktoum Street (Tah),Governmental,There is no definition of regions,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,42,Male,80,4,There is no,Not on or by (20) meters of a,1
77,77,77,896549,2021,Abu Dhabi,October,Sunday,Before noon,fourth week,Shock,Not leaving enough distance,Rashid between Sayed Al Maktoum Street (Tah),Others,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,44,Female,80,4,There is no,Not on or by (20) meters of a,1
78,78,78,896550,2021,Abu Dhabi,October,Wednesday,Before noon,the third week,Consecutive,Not leaving enough distance,El-Shikh Zayed street,Commercial area,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,57,Male,80,3,There is no,Not on or by (20) meters of a,1
79,79,79,896551,2021,Sharjah,November,Thursday,At noon,fourth week,Be shocked,Not to make the road / not to give the brigades,Al -Qareem Street,Residential area,Nouf,vertigo,day,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,25,Male,60,2,There is no,vertigo,1
80,80,80,896552,2021,Abu Dhabi,May,Monday,Evening,the third week,Shock,Failure to adhere to traffic signs,Abu Dhabi Road - Al Ain,Residential area,Bani Yas (East),Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Bike,Simple,29,Male,40,2,There is no,A meeting of half -vertical roads,1
81,81,81,896553,2021,Abu Dhabi,Dec,Monday,Evening,fourth week,Shock,Negligence and lack of attention,Arabian Gulf Street(Thirty),Others,There is no definition of regions,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,21,Male,80,3,There is no,Not on or by (20) meters of a,1
82,82,82,896554,2021,Abu Dhabi,May,Tuesday,Evening,The first week,Cross -100,Overcoming the red light signal,Industrial tunnel signal intersection,Commercial area,Mutawa,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,43,Male,100,3,There is no,Multi -legs intersection,1
83,83,83,896555,2021,Fujairah,August,Tuesday,In the afternoon,The fifth week,Shock,Enter a major road without making sure that it is free,Sheikh Maktoum Bin Rashid Street,Mountainous area,Thoban area,Other (select),Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,36,Male,100,2,There is no,Hole,1
84,84,84,896556,2021,Abu Dhabi,April,Sunday,Before noon,fourth week,Shock,Overcoming the red light signal,Intersection of Hamdan Bin Mohammed - Al Salam,Residential area,Central,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,37,Male,80,4,There is no,Vertical cross intersection,1
85,85,85,896557,2021,Abu Dhabi,October,Saturday,At noon,The fifth week,A fixed body shocked the road,Speed without taking into account the road conditions,Rashid between Sayed Al Maktoum Street (Tah),Commercial area,There is no definition of regions,Dhuatatin Road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,40,Male,40,1,There is no,Not at intersection,1
86,86,86,896558,2021,Sharjah,October,Monday,Before noon,second week,Consecutive,Not leaving enough distance,Al Dhaid Sharjah Street,Tunnel / Bridge,Pioneer,public road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,31,Female,80,4,There is no,Not on or by (20) meters of a,1
87,87,87,896559,2021,Sharjah,January,Sunday,Evening,The first week,Deterioration,Negligence and lack of attention,Wadi Al -Madiq Street,Mountainous area,Sweet Valley,Dhuatatin Road,Night - without lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,20,Male,60,2,There is no,Not on or by (20) meters of a,1
88,88,88,896560,2021,Ras Al Khaimah,February,Tuesday,Before noon,The first week,A fixed body shocked the road,Sudden deviation,Sheikh Mohammed bin Zayed Street,Others,The Red Island,public road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,23,Male,60,3,There is no,Not at intersection,1
89,89,89,896561,2021,Ras Al Khaimah,February,Sunday,Before noon,second week,Shock,Enter a major road without making sure that it is free,Sheikh Mohammed bin Zayed Street,Others,The Red Island,public road,day,Wicked (Bad),fog,Temple,driver,Driver,Simple,40,Female,120,3,There is no,Not at intersection,1
