,Unnamed: 0,rec_id,Accident number,Competent Department,Competent Center,Amount rating,Date of the accident,The date and time of the notification,Date and time of first arrival,Date and time of completion of control,End date and time of the operation,Departure date and time,Date and time of return to the center,Accident Group,Type of accident,Direct damage,Acccident scene category,Accident scene,Accident title,The band's work summary,Activity,Weather condition,Road condition,Priority level,Accident size,The cause of the accident,The number of injured people,The number of deaths in the public,The number of injured members of the force,The number of deaths of members of the force
18,18,58053,81102,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/9/2013,2013/01/09-22:24,2013/01/09-22:27,2013/01/09-22:30,1/9/2013 22:31,2013/01/09-22:31,2013/01/09-22:50,Transportation accidents,Clash,the person,tourist,commercial,Palm against Al -Jaidi,Transfer,governmental,No Clouds,natural,Important,basic,Traffic accident,1,0,,
19,19,58054,81103,Ras Al Khaimah,Civil Defense Center - Administration,The audience,1/10/2013,2013/01/10-08:10,2013/01/10-08:17,2013/01/10-08:19,1/10/2013 8:21,2013/01/10-08:22,2013/01/10-09:05,Transportation accidents,Clash,the person,governmental,Streets and squares,Next to the quality school,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
20,20,58099,81148,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/12/2013,2013/01/12-14:48,2013/01/12-14:58,2013/01/12-15:02,1/12/2013 15:04,2013/01/12-15:07,2013/01/12-15:43,Transportation accidents,Deterioration,Missing,governmental,unknown,Sheikh Mohammed bin Zayed Street,take actions,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
21,21,58103,81152,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/12/2013,2013/01/12-17:28,2013/01/12-17:30,2013/01/12-17:31,1/12/2013 17:35,2013/01/12-17:38,2013/01/12-18:10,Transportation accidents,Clash,the person,governmental,Streets and squares,Golan,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
22,22,58120,81169,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/13/2013,2013/01/13-13:32,2013/01/13-13:35,2013/01/13-13:38,1/13/2013 13:39,2013/01/13-13:39,2013/01/13-15:00,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Julpar opposite Rotana washbasin,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
23,23,58124,81173,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/13/2013,2013/01/13-21:01,2013/01/13-21:04,2013/01/13-21:07,1/13/2013 21:08,2013/01/13-21:08,2013/01/13-21:53,Transportation accidents,Clash,the person,residential,Streets and squares,Barirat,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,4,0,,
24,24,58126,81175,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/14/2013,2013/01/14-11:29,2013/01/14-11:31,2013/01/14-11:33,1/14/2013 11:35,2013/01/14-12:14,2013/01/14-12:19,Transportation accidents,Clash,the person,Public facilities and services,Streets and squares,Communications Street - Palm,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
25,25,58130,81179,Sharjah,Civil Defense Center - Al -Sajaa,Police and traffic,1/14/2013,2013/01/14-16:49,2013/01/14-16:53,2013/01/14-16:55,1/14/2013 17:23,2013/01/14-17:25,2013/01/14-17:30,Transportation accidents,a fire,Cars,governmental,Streets and squares,From Bridge 6 to the Rahmaniyah area,take actions,Missing,No Clouds,natural,very important,medium,Traffic accident,0,1,,
26,26,58131,81180,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/14/2013,2013/01/14-18:09,2013/01/14-18:15,2013/01/14-18:17,1/14/2013 18:19,2013/01/14-18:21,2013/01/14-19:05,Transportation accidents,Clash,the person,governmental,Streets and squares,Near the Julphar Health Center in the Eastern Region,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,it is not determined yet,1,0,,
27,27,58139,81188,Al Dhafra,Civil Defense Center - Liwa,Police and traffic,1/15/2013,2013/01/15-17:10,2013/01/15-17:25,2013/01/15-17:26,1/15/2013 17:27,2013/01/15-17:28,2013/01/15-17:40,Transportation accidents,One hundredth,Electricity column,Other places,Other places,Al -Tarawaniyah Road Liwa - Hmeim,Transfer,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
28,28,58140,81189,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/15/2013,2013/01/15-19:10,2013/01/15-19:13,2013/01/15-19:15,1/15/2013 19:17,2013/01/15-19:18,2013/01/15-19:55,Transportation accidents,Clash,the person,governmental,Streets and squares,Palm area,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
29,29,58153,81202,Fujairah,Civil Defense Center - Dibba,The audience,1/16/2013,2013/01/16-14:53,2013/01/16-14:57,2013/01/16-14:59,1/16/2013 15:00,2013/01/16-15:09,2013/01/16-15:12,Transportation accidents,Clash,Cars,Public facilities and services,Streets and squares,"Dibba Al -Fujairah, the apostasy area",Exit and transfer injured people,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
30,30,58156,81205,Ras Al Khaimah,Civil Defense Center - Administration,The audience,1/16/2013,2013/01/16-21:25,2013/01/16-21:28,2013/01/16-21:30,1/16/2013 21:32,2013/01/16-21:33,2013/01/16-22:04,Transportation accidents,Clash,Missing,governmental,Streets and squares,Explanation Street,Ambulance,governmental,No Clouds,natural,Important,basic,Traffic accident,1,0,,
31,31,58172,81221,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,1/18/2013,2013/01/18-03:15,2013/01/18-03:17,2013/01/18-03:37,1/18/2013 3:38,2013/01/18-03:40,2013/01/18-03:52,Transportation accidents,Deterioration,the person,Public facilities and services,Streets and squares,Al -Jazeera Al -Hamra - Al -Ittihad Street - opposite ceramic,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,2,0,,
32,32,58174,81223,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,1/18/2013,2013/01/18-09:17,2013/01/18-09:20,2013/01/18-09:22,1/18/2013 9:25,2013/01/18-09:55,2013/01/18-10:11,Transportation accidents,Deterioration,the person,Public facilities and services,Streets and squares,Near the markets of the oasis - Al -Jazeera Al -Hamra,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
33,33,58180,81229,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,1/18/2013,2013/01/18-12:05,2013/01/18-12:06,2013/01/18-12:08,1/18/2013 12:10,2013/01/18-12:12,2013/01/18-12:49,Transportation accidents,Deterioration,the person,Other places,Streets and squares,Al -Jazeera Red Street,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,it is not determined yet,1,0,,
34,34,58194,81243,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/19/2013,2013/01/19-11:00,2013/01/19-11:01,2013/01/19-11:03,1/19/2013 11:05,2013/01/19-11:06,2013/01/19-11:25,Transportation accidents,Clash,the person,governmental,Streets and squares,In front of the Julpar Towers,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
35,35,58195,81244,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,1/19/2013,2013/01/19-11:25,2013/01/19-11:28,2013/01/19-11:30,1/19/2013 11:32,2013/01/19-11:33,2013/01/19-12:30,Transportation accidents,One hundredth,the person,governmental,Streets and squares,Al-Jazeera Al-Hamra-Free Zone,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
36,36,58217,81266,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/20/2013,2013/01/20-15:50,2013/01/20-15:53,2013/01/20-15:55,1/20/2013 16:00,2013/01/20-16:03,2013/01/20-16:29,Transportation accidents,Clash,the person,governmental,Streets and squares,The Golan Shish area,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
37,37,58219,81268,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,1/20/2013,2013/01/20-16:51,2013/01/20-16:57,2013/01/20-16:59,1/20/2013 17:04,2013/01/20-17:06,2013/01/20-17:25,Transportation accidents,Clash,the person,governmental,Streets and squares,Sheikh Mohammed bin Zayed Street,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
38,38,58220,81269,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/20/2013,2013/01/20-18:53,2013/01/20-18:55,2013/01/20-18:58,1/20/2013 19:00,2013/01/20-19:07,2013/01/20-19:26,Transportation accidents,Run over,Missing,governmental,unknown,Palm,take actions,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
39,39,58222,81271,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,1/20/2013,2013/01/21-22:33,2013/01/21-22:35,2013/01/21-22:37,1/21/2013 22:40,2013/01/21-22:42,2013/01/21-23:00,Transportation accidents,Clash,the person,governmental,Streets and squares,Al -Jazeera Al -Hamra in front of the ceramic company,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
40,40,58226,81275,Al Dhafra,Civil Defense Center - Liwa,Police and traffic,1/21/2013,2013/01/21-08:45,2013/01/21-09:15,2013/01/21-09:30,1/21/2013 9:40,2013/01/21-09:45,2013/01/21-10:15,Transportation accidents,Deterioration,Cars,governmental,Streets and squares,Car deterioration,take actions,Cars,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
41,41,58228,81277,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/21/2013,2013/01/21-12:19,2013/01/21-12:22,2013/01/21-12:25,1/21/2013 12:26,2013/01/21-12:26,2013/01/21-12:55,Transportation accidents,a fire,the person,Public facilities and services,Streets and squares,Palm,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
42,42,58235,81284,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/22/2013,2013/01/22-04:48,2013/01/22-04:52,2013/01/22-04:55,1/22/2013 4:56,2013/01/22-04:56,2013/01/22-05:30,Transportation accidents,Clash,the person,Public facilities and services,Streets and squares,Reunion,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
43,43,58239,81288,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/21/2013,2013/01/21-10:49,2013/01/21-10:52,2013/01/21-10:53,1/21/2013 10:55,2013/01/21-10:56,2013/01/21-11:45,Transportation accidents,Clash,the person,governmental,governmental,Zahra area,take actions,Missing,No Clouds,natural,very important,basic,Traffic accident,2,0,,
44,44,58253,81302,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/23/2013,2013/01/23-05:18,2013/01/23-05:20,2013/01/23-05:22,1/23/2013 5:25,2013/01/23-05:45,2013/01/23-05:50,Transportation accidents,Run over,the person,Public facilities and services,Streets and squares,Palm - Cinema intersection,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
45,45,58258,81307,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,1/23/2013,2013/01/23-12:55,2013/01/23-13:00,2013/01/23-13:03,1/23/2013 13:06,2013/01/23-13:08,2013/01/23-13:55,Transportation accidents,One hundredth,the person,Other places,Institutions and companies,Al -Jazeera Al -Hamra area in the free zone,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,it is not determined yet,1,0,,
46,46,58261,81310,Al Dhafra,Civil Defense Center - Port,Police and traffic,1/23/2013,2013/01/23-15:15,2013/01/23-15:25,2013/01/23-15:30,1/23/2013 15:36,2013/01/23-15:37,2013/01/23-15:45,Transportation accidents,Deterioration,the person,governmental,Streets and squares,Deterioration,Transfer,governmental,No Clouds,natural,Normal,basic,Traffic accident,4,0,,
47,47,58271,81320,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/24/2013,2013/01/24-08:10,2013/01/24-08:15,2013/01/24-08:17,1/24/2013 8:24,2013/01/24-08:26,2013/01/24-09:10,Transportation accidents,Clash,the person,governmental,Streets and squares,Julpar Street,Rescue and transfer injured people,Missing,No Clouds,natural,very important,basic,Traffic accident,5,0,,
48,48,58274,81323,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,1/24/2013,2013/01/24-18:30,2013/01/24-18:37,2013/01/24-18:39,1/24/2013 18:43,2013/01/24-18:45,2013/01/24-19:24,Transportation accidents,Clash,the person,governmental,Streets and squares,Al -Tawiyan Street at Al -Saadi roundabout,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
49,49,58303,81352,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/26/2013,2013/01/26-20:37,2013/01/26-20:40,2013/01/26-20:43,1/26/2013 20:45,2013/01/26-21:07,2013/01/26-21:12,Transportation accidents,Clash,the person,Public facilities and services,Streets and squares,Palm - near the Kerala supermarket,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,2,0,,
50,50,58326,81375,Fujairah,Civil Defense Center - against us,The audience,1/28/2013,2013/01/28-08:48,2013/01/28-08:51,2013/01/28-08:52,1/28/2013 8:53,2013/01/28-08:55,2013/01/28-09:00,Transportation accidents,One hundredth,Cars,Public facilities and services,Streets and squares,Aqa area,Exit and transfer injured people,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
51,51,58358,81407,Ras Al Khaimah,Civil Defense Center - Kadra,Police and traffic,1/30/2013,2013/01/30-19:45,2013/01/30-19:46,2013/01/30-19:48,1/30/2013 19:50,2013/01/30-20:35,2013/01/30-20:40,Transportation accidents,Clash,the person,Public facilities and services,Streets and squares,Kadra Street - opposite the poultry,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
52,52,58362,81411,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,1/31/2013,2013/01/31-12:03,2013/01/31-12:06,2013/01/31-12:08,1/31/2013 12:10,2013/01/31-12:11,2013/01/31-12:45,Transportation accidents,Run over,the person,governmental,Streets and squares,Near the Gulf Cinema,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
53,53,58363,81412,Ras Al Khaimah,Civil Defense Center - Northern Administration,Police and traffic,1/31/2013,2013/01/31-14:14,2013/01/31-14:28,2013/01/31-14:32,1/31/2013 14:34,2013/01/31-14:36,2013/01/31-15:32,Transportation accidents,Clash,the person,governmental,Streets and squares,Lime- Ras Al Dar,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,3,0,,
54,54,58380,81429,Umm Al Quwain,Civil Defense Center - Administration,Police and traffic,2/1/2013,2013/02/01-18:42,2013/02/01-18:46,2013/02/01-18:47,2/1/2013 18:48,2013/02/01-18:55,2013/02/01-19:30,Transportation accidents,Clash,the person,governmental,Streets and squares,Etihad Street - external circle,Transfer,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
55,55,58381,81430,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,2/1/2013,2013/02/01-19:46,2013/02/01-19:49,2013/02/01-19:51,2/1/2013 19:54,2013/02/01-20:00,2013/02/01-20:51,Transportation accidents,Run over,the person,governmental,Streets and squares,The Red Island is at Majan for printing,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
56,56,58382,81431,Eye,Civil Defense Center - Al -Qaa,Police and traffic,2/1/2013,2013/02/01-21:27,2013/02/01-21:33,2013/02/01-21:48,2/1/2013 21:58,2013/02/01-22:10,2013/02/01-22:17,Transportation accidents,Clash,Cars,Public facilities and services,Streets and squares,Al -Qalia Road - Al -Waqen,Fire fighting,Cars,No Clouds,natural,very important,basic,it is not determined yet,4,0,,
57,57,58384,81433,Umm Al Quwain,Civil Defense Center - Al -Madinah,Police and traffic,2/1/2013,2013/02/01-19:30,2013/02/01-19:32,2013/02/01-19:33,2/1/2013 19:33,2013/02/01-19:37,2013/02/01-19:41,Transportation accidents,Clash,the person,Public facilities and services,Streets and squares,King Faisal Street opposite the Sheikh Zayed Mosque,Transfer,Cars,No Clouds,natural,unclassified,basic,Traffic accident,2,0,,
58,58,58393,81442,Umm Al Quwain,Civil Defense Center - Al -Madinah,Police and traffic,2/2/2013,2013/02/02-15:43,2013/02/02-15:46,2013/02/02-15:48,2/2/2013 15:50,2013/02/02-15:51,2013/02/02-16:16,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,King Faisal Street opposite the Sheikh Zayed Mosque,Transfer,Cars,Rains,natural,Normal,basic,Traffic accident,2,0,,
59,59,58406,81455,Fujairah,Civil Defense Center - Dibba,Police and traffic,2/2/2013,2013/02/02-18:55,2013/02/02-19:02,2013/02/02-19:05,2/2/2013 19:06,2013/02/02-19:07,2013/02/02-19:40,Transportation accidents,Clash,Missing,residential,Streets and squares,Roll Dibba Fujairah,Transfer,Missing,I did not specify,natural,Important,basic,Traffic accident,1,0,,
60,60,58468,81517,Eye,Civil Defense Center - Zakher (fast intervention),Police and traffic,2/4/2013,2013/02/04-08:12,2013/02/04-08:25,2013/02/04-10:00,2/4/2013 13:20,2013/02/04-13:22,2013/02/04-14:30,Transportation accidents,Clash,Cars,Public facilities and services,Various transportation,Truck Road - opposite the Kindergarten Palace,Recovery and raise a car,Cars,No Clouds,natural,Important,disaster,Traffic accident,23,20,,
61,61,58469,81518,Al Dhafra,Civil Defense Center - Ghuifat,Police and traffic,2/4/2013,2013/02/04-14:15,2013/02/04-14:20,2013/02/04-14:28,2/4/2013 14:32,2013/02/04-14:33,2013/02/04-15:30,Transportation accidents,Deterioration,Missing,governmental,unknown,Missing,take actions,furniture,No Clouds,natural,very important,basic,Traffic accident,1,0,,
62,62,58473,81522,Fujairah,Civil Defense Center - Al -Madinah,Police and traffic,2/4/2013,2013/02/04-03:45,2013/02/04-03:48,2013/02/04-03:51,2/4/2013 3:56,2013/02/04-04:05,2013/02/04-04:10,Transportation accidents,Deterioration,Cars,governmental,unknown,Palm Street,cooling,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
63,63,58486,81535,Abu Dhabi,Rapid Intervention Center - Mohammed bin Zayed,Police and traffic,2/2/2013,2013/02/02-16:15,2013/02/02-16:25,2013/02/02-16:30,2/2/2013 19:35,2013/02/02-19:35,2013/02/05-19:35,Transportation accidents,Deterioration,Trucks,Means of transport,unknown,Abu Dhabi International Airport Bridge,Recovery and raise a car,Cars,No Clouds,natural,very important,medium,it is not determined yet,0,1,,
64,64,58489,81538,Umm Al Quwain,Raise Center,Police and traffic,2/5/2013,2013/02/05-16:10,2013/02/05-16:12,2013/02/05-16:15,2/5/2013 16:17,2013/02/05-16:18,2013/02/05-16:47,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,Etihad Street near Dreamland Park,Transfer,Cars,No Clouds,natural,Normal,basic,it is not determined yet,2,0,,
65,65,58491,81540,Fujairah,Civil Defense Center - Al -Taween,Military officers and members,2/5/2013,2013/02/05-17:10,2013/02/05-17:15,2013/02/05-17:16,2/5/2013 17:30,2013/02/05-17:40,2013/02/05-18:00,Transportation accidents,Clash,Missing,Public facilities and services,Streets and squares,And the defect of Al -Hanna - Dibba Al -Fujairah,Ambulance and rescue,Missing,I did not specify,natural,Important,basic,Traffic accident,1,0,,
66,66,58504,81553,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,2/6/2013,2013/02/06-14:05,2013/02/06-14:09,2013/02/06-14:12,2/6/2013 14:20,2013/02/06-14:20,2013/02/06-14:35,Transportation accidents,Clash,the person,commercial,unknown,In front of Al -Sahari Restaurant,Transfer,governmental,No Clouds,natural,Important,basic,Traffic accident,1,0,,
67,67,58512,81561,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,2/6/2013,2013/02/06-23:06,2013/02/06-23:08,2013/02/06-23:11,2/6/2013 23:12,2013/02/06-23:12,2013/02/06-23:35,Transportation accidents,Run over,the person,governmental,residential,Al -Uraibi,Transfer,governmental,No Clouds,natural,Important,basic,Traffic accident,1,0,,
